Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      1.62     0.00    31726     0.00     0.00  Fnext_char_property_change
  0.00      1.62     0.00    31624     0.00     0.00  bidi_fetch_char_skip_isolates
  0.00      1.62     0.00    31481     0.00     0.00  Fputhash
  0.00      1.62     0.00    31162     0.00     0.00  validate_plist
  0.00      1.62     0.00    30989     0.00     0.00  list2
  0.00      1.62     0.00    30982     0.00     0.00  revalidate_region_cache
  0.00      1.62     0.00    30959     0.00     0.00  mark_object
  0.00      1.62     0.00    30623     0.00     0.00  fast_looking_at
  0.00      1.62     0.00    29806     0.00     0.00  marker_position
  0.00      1.62     0.00    29672     0.00     0.00  make_vector
  0.00      1.62     0.00    29235     0.00     0.00  parse_modifiers
  0.00      1.62     0.00    29049     0.00     0.00  bset_redisplay
  0.00      1.62     0.00    28930     0.00     0.00  signal_after_change
  0.00      1.62     0.00    28922     0.00     0.00  prepare_to_modify_buffer_1
  0.00      1.62     0.00    28409     0.00     0.00  EQ
  0.00      1.62     0.00    28285     0.00     0.00  setup_coding_system
  0.00      1.62     0.00    27941     0.00     0.00  analyze_first_fastmap
  0.00      1.62     0.00    27923     0.00     0.00  read_string_literal
  0.00      1.62     0.00    27817     0.00     0.00  code_convert_string
  0.00      1.62     0.00    27536     0.00     0.00  apply_modifiers
  0.00      1.62     0.00    27536     0.00     0.00  reorder_modifiers
  0.00      1.62     0.00    27528     0.00     0.00  decode_file_name
  0.00      1.62     0.00    26949     0.00     0.00  overlays_in
  0.00      1.62     0.00    26877     0.00     0.00  re_set_registers
  0.00      1.62     0.00    25961     0.00     0.00  handle_display_prop
  0.00      1.62     0.00    25934     0.00     0.00  set_buffer_temp
  0.00      1.62     0.00    25685     0.00     0.00  mark_localized_symbol
  0.00      1.62     0.00    25578     0.00     0.00  Fnthcdr
  0.00      1.62     0.00    25556     0.00     0.00  bidi_init_it
  0.00      1.62     0.00    25277     0.00     0.00  Fstring_match
  0.00      1.62     0.00    24206     0.00     0.00  hash_put
  0.00      1.62     0.00    24190     0.00     0.00  emacs_openat
  0.00      1.62     0.00    23802     0.00     0.00  handle_fontified_prop
  0.00      1.62     0.00    23413     0.00     0.00  string_to_number
  0.00      1.62     0.00    23218     0.00     0.00  face_at_pos
  0.00      1.62     0.00    23206     0.00     0.00  handle_face_prop
  0.00      1.62     0.00    23120     0.00     0.00  compute_display_string_pos
  0.00      1.62     0.00    23118     0.00     0.00  handle_composition_prop
  0.00      1.62     0.00    23118     0.00     0.00  handle_invisible_prop
  0.00      1.62     0.00    23022     0.00     0.00  Fsymbol_with_pos_p
  0.00      1.62     0.00    22711     0.00     0.00  add_text_properties_1
  0.00      1.62     0.00    22418     0.00     0.00  Fboundp
  0.00      1.62     0.00    22263     0.00     0.00  Fnconc
  0.00      1.62     0.00    21994     0.00     0.00  Fkeywordp
  0.00      1.62     0.00    21968     0.00     0.00  split_interval_left
  0.00      1.62     0.00    21924     0.00     0.00  plist_put
  0.00      1.62     0.00    21539     0.00     0.00  allocate_nil_vector
  0.00      1.62     0.00    21485     0.00     0.00  unchain_marker
  0.00      1.62     0.00    21352     0.00     0.00  Fdelq
  0.00      1.62     0.00    21272     0.00     0.00  marker_byte_position
  0.00      1.62     0.00    21230     0.00     0.00  check_integer_range
  0.00      1.62     0.00    21153     0.00     0.00  get_visually_first_element
  0.00      1.62     0.00    20647     0.00     0.00  get_line_prefix_it_property
  0.00      1.62     0.00    20647     0.00     0.00  handle_line_prefix
  0.00      1.62     0.00    20594     0.00     0.00  adjust_suspend_auto_hscroll
  0.00      1.62     0.00    20544     0.00     0.00  sys_faccessat
  0.00      1.62     0.00    20396     0.00     0.00  offset_intervals
  0.00      1.62     0.00    20322     0.00     0.00  list3
  0.00      1.62     0.00    20228     0.00     0.00  invalidate_buffer_caches
  0.00      1.62     0.00    20125     0.00     0.00  Fnth
  0.00      1.62     0.00    19992     0.00     0.00  window_wants_tab_line
  0.00      1.62     0.00    19693     0.00     0.00  verify_interval_modification
  0.00      1.62     0.00    19442     0.00     0.00  Fapply
  0.00      1.62     0.00    19322     0.00     0.00  Fnext_single_char_property_change
  0.00      1.62     0.00    19174     0.00     0.00  record_insert
  0.00      1.62     0.00    19123     0.00     0.00  Fforward_char
  0.00      1.62     0.00    19088     0.00     0.00  Fput
  0.00      1.62     0.00    18970     0.00     0.00  itree_insert_gap
  0.00      1.62     0.00    18768     0.00     0.00  Fvectorp
  0.00      1.62     0.00    18658     0.00     0.00  adjust_overlays_for_insert
  0.00      1.62     0.00    18574     0.00     0.00  bidi_char_at_pos
  0.00      1.62     0.00    18551     0.00     0.00  Fvconcat
  0.00      1.62     0.00    18318     0.00     0.00  bidi_paragraph_init
  0.00      1.62     0.00    18314     0.00     0.00  interval_of
  0.00      1.62     0.00    18314     0.00     0.00  update_syntax_table
  0.00      1.62     0.00    18124     0.00     0.00  insert_from_string_1
  0.00      1.62     0.00    18028     0.00     0.00  Fgoto_char
  0.00      1.62     0.00    17797     0.00     0.00  window_wants_mode_line
  0.00      1.62     0.00    17711     0.00     0.00  eval_sub
  0.00      1.62     0.00    17504     0.00     0.00  region_cache_backward
  0.00      1.62     0.00    17428     0.00     0.00  update_window_line
  0.00      1.62     0.00    17246     0.00     0.00  make_integer_mpz
  0.00      1.62     0.00    17180     0.00     0.00  Findirect_function
  0.00      1.62     0.00    16905     0.00     0.00  Fbarf_if_buffer_read_only
  0.00      1.62     0.00    16809     0.00     0.00  Fget_buffer
  0.00      1.62     0.00    16807     0.00     0.00  face_at_string_position
  0.00      1.62     0.00    16794     0.00     0.00  Fassoc
  0.00      1.62     0.00    16677     0.00     0.00  push_handler_nosignal
  0.00      1.62     0.00    16580     0.00     0.00  map_keymap_char_table_item
  0.00      1.62     0.00    16553     0.00     0.00  sort_overlays
  0.00      1.62     0.00    16160     0.00     0.00  bidi_unshelve_cache
  0.00      1.62     0.00    16137     0.00     0.00  should_produce_line_number
  0.00      1.62     0.00    15786     0.00     0.00  load_overlay_strings
  0.00      1.62     0.00    15783     0.00     0.00  update_compositions
  0.00      1.62     0.00    15641     0.00     0.00  find_newline
  0.00      1.62     0.00    15549     0.00     0.00  set_marker_both
  0.00      1.62     0.00    15517     0.00     0.00  lisp_malloc
  0.00      1.62     0.00    15440     0.00     0.00  copy_properties
  0.00      1.62     0.00    15303     0.00     0.00  previous_interval
  0.00      1.62     0.00    15093     0.00     0.00  make_sub_char_table
  0.00      1.62     0.00    15079     0.00     0.00  decode_timer
  0.00      1.62     0.00    15014     0.00     0.00  xmalloc
  0.00      1.62     0.00    14763     0.00     0.00  create_root_interval
  0.00      1.62     0.00    14752     0.00     0.00  timespec_sub
  0.00      1.62     0.00    14603     0.00     0.00  watch_gc_cons_percentage
  0.00      1.62     0.00    14451     0.00     0.00  next_overlay_change
  0.00      1.62     0.00    14374     0.00     0.00  Fset_buffer
  0.00      1.62     0.00    14286     0.00     0.00  itree_inherit_offset
  0.00      1.62     0.00    14163     0.00     0.00  fetch_buffer_markers
  0.00      1.62     0.00    14163     0.00     0.00  record_buffer_markers
  0.00      1.62     0.00    14084     0.00     0.00  allocate_pseudovector
  0.00      1.62     0.00    14025     0.00     0.00  set_marker_internal
  0.00      1.62     0.00    14014     0.00     0.00  check_file_access
  0.00      1.62     0.00    13987     0.00     0.00  expand_and_dir_to_file
  0.00      1.62     0.00    13986     0.00     0.00  overlays_at
  0.00      1.62     0.00    13963     0.00     0.00  file_directory_p
